frase_italiana,codice_python
led 9 lampeggia 19,"arduino.led_blink(9, times=19)"
lampeggia led 9 20 volte,"arduino.led_blink(9, times=20)"
led 9 lampeggia 20,"arduino.led_blink(9, times=20)"
lampeggia led 9 21 volte,"arduino.led_blink(9, times=21)"
led 9 lampeggia 21,"arduino.led_blink(9, times=21)"
lampeggia led 9 22 volte,"arduino.led_blink(9, times=22)"
led 9 lampeggia 22,"arduino.led_blink(9, times=22)"
lampeggia led 9 23 volte,"arduino.led_blink(9, times=23)"
led 9 lampeggia 23,"arduino.led_blink(9, times=23)"
lampeggia led 9 24 volte,"arduino.led_blink(9, times=24)"
led 9 lampeggia 24,"arduino.led_blink(9, times=24)"
lampeggia led 9 25 volte,"arduino.led_blink(9, times=25)"
led 9 lampeggia 25,"arduino.led_blink(9, times=25)"
lampeggia led 9 26 volte,"arduino.led_blink(9, times=26)"
led 9 lampeggia 26,"arduino.led_blink(9, times=26)"
lampeggia led 9 27 volte,"arduino.led_blink(9, times=27)"
led 9 lampeggia 27,"arduino.led_blink(9, times=27)"
lampeggia led 9 28 volte,"arduino.led_blink(9, times=28)"
led 9 lampeggia 28,"arduino.led_blink(9, times=28)"
lampeggia led 9 29 volte,"arduino.led_blink(9, times=29)"
led 9 lampeggia 29,"arduino.led_blink(9, times=29)"
lampeggia led 9 30 volte,"arduino.led_blink(9, times=30)"
led 9 lampeggia 30,"arduino.led_blink(9, times=30)"
lampeggia led 9 31 volte,"arduino.led_blink(9, times=31)"
led 9 lampeggia 31,"arduino.led_blink(9, times=31)"
lampeggia led 9 32 volte,"arduino.led_blink(9, times=32)"
led 9 lampeggia 32,"arduino.led_blink(9, times=32)"
lampeggia led 9 33 volte,"arduino.led_blink(9, times=33)"
led 9 lampeggia 33,"arduino.led_blink(9, times=33)"
lampeggia led 9 34 volte,"arduino.led_blink(9, times=34)"
led 9 lampeggia 34,"arduino.led_blink(9, times=34)"
lampeggia led 9 35 volte,"arduino.led_blink(9, times=35)"
led 9 lampeggia 35,"arduino.led_blink(9, times=35)"
lampeggia led 9 36 volte,"arduino.led_blink(9, times=36)"
led 9 lampeggia 36,"arduino.led_blink(9, times=36)"
lampeggia led 9 37 volte,"arduino.led_blink(9, times=37)"
led 9 lampeggia 37,"arduino.led_blink(9, times=37)"
lampeggia led 9 38 volte,"arduino.led_blink(9, times=38)"
led 9 lampeggia 38,"arduino.led_blink(9, times=38)"
lampeggia led 9 39 volte,"arduino.led_blink(9, times=39)"
led 9 lampeggia 39,"arduino.led_blink(9, times=39)"
lampeggia led 9 40 volte,"arduino.led_blink(9, times=40)"
led 9 lampeggia 40,"arduino.led_blink(9, times=40)"
lampeggia led 9 41 volte,"arduino.led_blink(9, times=41)"
led 9 lampeggia 41,"arduino.led_blink(9, times=41)"
lampeggia led 9 42 volte,"arduino.led_blink(9, times=42)"
led 9 lampeggia 42,"arduino.led_blink(9, times=42)"
lampeggia led 9 43 volte,"arduino.led_blink(9, times=43)"
led 9 lampeggia 43,"arduino.led_blink(9, times=43)"
lampeggia led 9 44 volte,"arduino.led_blink(9, times=44)"
led 9 lampeggia 44,"arduino.led_blink(9, times=44)"
lampeggia led 9 45 volte,"arduino.led_blink(9, times=45)"
led 9 lampeggia 45,"arduino.led_blink(9, times=45)"
lampeggia led 9 46 volte,"arduino.led_blink(9, times=46)"
led 9 lampeggia 46,"arduino.led_blink(9, times=46)"
lampeggia led 9 47 volte,"arduino.led_blink(9, times=47)"
led 9 lampeggia 47,"arduino.led_blink(9, times=47)"
lampeggia led 9 48 volte,"arduino.led_blink(9, times=48)"
led 9 lampeggia 48,"arduino.led_blink(9, times=48)"
lampeggia led 9 49 volte,"arduino.led_blink(9, times=49)"
led 9 lampeggia 49,"arduino.led_blink(9, times=49)"
lampeggia led 9 50 volte,"arduino.led_blink(9, times=50)"
led 9 lampeggia 50,"arduino.led_blink(9, times=50)"
accendi led pin 10,arduino.led_on(10)
spegni led pin 10,arduino.led_off(10)
attiva led pin 10,arduino.led_on(10)
disattiva led pin 10,arduino.led_off(10)
acceso led pin 10,arduino.led_on(10)
spento led pin 10,arduino.led_off(10)
lampeggia led 10 1 volte,"arduino.led_blink(10, times=1)"
led 10 lampeggia 1,"arduino.led_blink(10, times=1)"
lampeggia led 10 2 volte,"arduino.led_blink(10, times=2)"
led 10 lampeggia 2,"arduino.led_blink(10, times=2)"
lampeggia led 10 3 volte,"arduino.led_blink(10, times=3)"
led 10 lampeggia 3,"arduino.led_blink(10, times=3)"
lampeggia led 10 4 volte,"arduino.led_blink(10, times=4)"
led 10 lampeggia 4,"arduino.led_blink(10, times=4)"
lampeggia led 10 5 volte,"arduino.led_blink(10, times=5)"
led 10 lampeggia 5,"arduino.led_blink(10, times=5)"
lampeggia led 10 6 volte,"arduino.led_blink(10, times=6)"
led 10 lampeggia 6,"arduino.led_blink(10, times=6)"
lampeggia led 10 7 volte,"arduino.led_blink(10, times=7)"
led 10 lampeggia 7,"arduino.led_blink(10, times=7)"
lampeggia led 10 8 volte,"arduino.led_blink(10, times=8)"
led 10 lampeggia 8,"arduino.led_blink(10, times=8)"
lampeggia led 10 9 volte,"arduino.led_blink(10, times=9)"
led 10 lampeggia 9,"arduino.led_blink(10, times=9)"
lampeggia led 10 10 volte,"arduino.led_blink(10, times=10)"
led 10 lampeggia 10,"arduino.led_blink(10, times=10)"
lampeggia led 10 11 volte,"arduino.led_blink(10, times=11)"
led 10 lampeggia 11,"arduino.led_blink(10, times=11)"
lampeggia led 10 12 volte,"arduino.led_blink(10, times=12)"
led 10 lampeggia 12,"arduino.led_blink(10, times=12)"
lampeggia led 10 13 volte,"arduino.led_blink(10, times=13)"
led 10 lampeggia 13,"arduino.led_blink(10, times=13)"
lampeggia led 10 14 volte,"arduino.led_blink(10, times=14)"
led 10 lampeggia 14,"arduino.led_blink(10, times=14)"
lampeggia led 10 15 volte,"arduino.led_blink(10, times=15)"
led 10 lampeggia 15,"arduino.led_blink(10, times=15)"
lampeggia led 10 16 volte,"arduino.led_blink(10, times=16)"
led 10 lampeggia 16,"arduino.led_blink(10, times=16)"
lampeggia led 10 17 volte,"arduino.led_blink(10, times=17)"
led 10 lampeggia 17,"arduino.led_blink(10, times=17)"
lampeggia led 10 18 volte,"arduino.led_blink(10, times=18)"
led 10 lampeggia 18,"arduino.led_blink(10, times=18)"
lampeggia led 10 19 volte,"arduino.led_blink(10, times=19)"
led 10 lampeggia 19,"arduino.led_blink(10, times=19)"
lampeggia led 10 20 volte,"arduino.led_blink(10, times=20)"
led 10 lampeggia 20,"arduino.led_blink(10, times=20)"
lampeggia led 10 21 volte,"arduino.led_blink(10, times=21)"
led 10 lampeggia 21,"arduino.led_blink(10, times=21)"
lampeggia led 10 22 volte,"arduino.led_blink(10, times=22)"
led 10 lampeggia 22,"arduino.led_blink(10, times=22)"
lampeggia led 10 23 volte,"arduino.led_blink(10, times=23)"
led 10 lampeggia 23,"arduino.led_blink(10, times=23)"
lampeggia led 10 24 volte,"arduino.led_blink(10, times=24)"
led 10 lampeggia 24,"arduino.led_blink(10, times=24)"
lampeggia led 10 25 volte,"arduino.led_blink(10, times=25)"
led 10 lampeggia 25,"arduino.led_blink(10, times=25)"
lampeggia led 10 26 volte,"arduino.led_blink(10, times=26)"
led 10 lampeggia 26,"arduino.led_blink(10, times=26)"
lampeggia led 10 27 volte,"arduino.led_blink(10, times=27)"
led 10 lampeggia 27,"arduino.led_blink(10, times=27)"
lampeggia led 10 28 volte,"arduino.led_blink(10, times=28)"
led 10 lampeggia 28,"arduino.led_blink(10, times=28)"
lampeggia led 10 29 volte,"arduino.led_blink(10, times=29)"
led 10 lampeggia 29,"arduino.led_blink(10, times=29)"
lampeggia led 10 30 volte,"arduino.led_blink(10, times=30)"
led 10 lampeggia 30,"arduino.led_blink(10, times=30)"
lampeggia led 10 31 volte,"arduino.led_blink(10, times=31)"
led 10 lampeggia 31,"arduino.led_blink(10, times=31)"
lampeggia led 10 32 volte,"arduino.led_blink(10, times=32)"
led 10 lampeggia 32,"arduino.led_blink(10, times=32)"
lampeggia led 10 33 volte,"arduino.led_blink(10, times=33)"
led 10 lampeggia 33,"arduino.led_blink(10, times=33)"
lampeggia led 10 34 volte,"arduino.led_blink(10, times=34)"
led 10 lampeggia 34,"arduino.led_blink(10, times=34)"
lampeggia led 10 35 volte,"arduino.led_blink(10, times=35)"
led 10 lampeggia 35,"arduino.led_blink(10, times=35)"
lampeggia led 10 36 volte,"arduino.led_blink(10, times=36)"
led 10 lampeggia 36,"arduino.led_blink(10, times=36)"
lampeggia led 10 37 volte,"arduino.led_blink(10, times=37)"
led 10 lampeggia 37,"arduino.led_blink(10, times=37)"
lampeggia led 10 38 volte,"arduino.led_blink(10, times=38)"
led 10 lampeggia 38,"arduino.led_blink(10, times=38)"
lampeggia led 10 39 volte,"arduino.led_blink(10, times=39)"
led 10 lampeggia 39,"arduino.led_blink(10, times=39)"
lampeggia led 10 40 volte,"arduino.led_blink(10, times=40)"
led 10 lampeggia 40,"arduino.led_blink(10, times=40)"
lampeggia led 10 41 volte,"arduino.led_blink(10, times=41)"
led 10 lampeggia 41,"arduino.led_blink(10, times=41)"
lampeggia led 10 42 volte,"arduino.led_blink(10, times=42)"
led 10 lampeggia 42,"arduino.led_blink(10, times=42)"
lampeggia led 10 43 volte,"arduino.led_blink(10, times=43)"
led 10 lampeggia 43,"arduino.led_blink(10, times=43)"
lampeggia led 10 44 volte,"arduino.led_blink(10, times=44)"
led 10 lampeggia 44,"arduino.led_blink(10, times=44)"
lampeggia led 10 45 volte,"arduino.led_blink(10, times=45)"
led 10 lampeggia 45,"arduino.led_blink(10, times=45)"
lampeggia led 10 46 volte,"arduino.led_blink(10, times=46)"
led 10 lampeggia 46,"arduino.led_blink(10, times=46)"
lampeggia led 10 47 volte,"arduino.led_blink(10, times=47)"
led 10 lampeggia 47,"arduino.led_blink(10, times=47)"
lampeggia led 10 48 volte,"arduino.led_blink(10, times=48)"
led 10 lampeggia 48,"arduino.led_blink(10, times=48)"
lampeggia led 10 49 volte,"arduino.led_blink(10, times=49)"
led 10 lampeggia 49,"arduino.led_blink(10, times=49)"
lampeggia led 10 50 volte,"arduino.led_blink(10, times=50)"
led 10 lampeggia 50,"arduino.led_blink(10, times=50)"
accendi led pin 11,arduino.led_on(11)
spegni led pin 11,arduino.led_off(11)
attiva led pin 11,arduino.led_on(11)
disattiva led pin 11,arduino.led_off(11)
acceso led pin 11,arduino.led_on(11)
spento led pin 11,arduino.led_off(11)
lampeggia led 11 1 volte,"arduino.led_blink(11, times=1)"
led 11 lampeggia 1,"arduino.led_blink(11, times=1)"
lampeggia led 11 2 volte,"arduino.led_blink(11, times=2)"
led 11 lampeggia 2,"arduino.led_blink(11, times=2)"
lampeggia led 11 3 volte,"arduino.led_blink(11, times=3)"
led 11 lampeggia 3,"arduino.led_blink(11, times=3)"
lampeggia led 11 4 volte,"arduino.led_blink(11, times=4)"
led 11 lampeggia 4,"arduino.led_blink(11, times=4)"
lampeggia led 11 5 volte,"arduino.led_blink(11, times=5)"
led 11 lampeggia 5,"arduino.led_blink(11, times=5)"
lampeggia led 11 6 volte,"arduino.led_blink(11, times=6)"
led 11 lampeggia 6,"arduino.led_blink(11, times=6)"
lampeggia led 11 7 volte,"arduino.led_blink(11, times=7)"
led 11 lampeggia 7,"arduino.led_blink(11, times=7)"
lampeggia led 11 8 volte,"arduino.led_blink(11, times=8)"
led 11 lampeggia 8,"arduino.led_blink(11, times=8)"
lampeggia led 11 9 volte,"arduino.led_blink(11, times=9)"
led 11 lampeggia 9,"arduino.led_blink(11, times=9)"
lampeggia led 11 10 volte,"arduino.led_blink(11, times=10)"
led 11 lampeggia 10,"arduino.led_blink(11, times=10)"
lampeggia led 11 11 volte,"arduino.led_blink(11, times=11)"
led 11 lampeggia 11,"arduino.led_blink(11, times=11)"
lampeggia led 11 12 volte,"arduino.led_blink(11, times=12)"
led 11 lampeggia 12,"arduino.led_blink(11, times=12)"
lampeggia led 11 13 volte,"arduino.led_blink(11, times=13)"
led 11 lampeggia 13,"arduino.led_blink(11, times=13)"
lampeggia led 11 14 volte,"arduino.led_blink(11, times=14)"
led 11 lampeggia 14,"arduino.led_blink(11, times=14)"
lampeggia led 11 15 volte,"arduino.led_blink(11, times=15)"
led 11 lampeggia 15,"arduino.led_blink(11, times=15)"
lampeggia led 11 16 volte,"arduino.led_blink(11, times=16)"
led 11 lampeggia 16,"arduino.led_blink(11, times=16)"
lampeggia led 11 17 volte,"arduino.led_blink(11, times=17)"
led 11 lampeggia 17,"arduino.led_blink(11, times=17)"
lampeggia led 11 18 volte,"arduino.led_blink(11, times=18)"
led 11 lampeggia 18,"arduino.led_blink(11, times=18)"
lampeggia led 11 19 volte,"arduino.led_blink(11, times=19)"
led 11 lampeggia 19,"arduino.led_blink(11, times=19)"
lampeggia led 11 20 volte,"arduino.led_blink(11, times=20)"
led 11 lampeggia 20,"arduino.led_blink(11, times=20)"
lampeggia led 11 21 volte,"arduino.led_blink(11, times=21)"
led 11 lampeggia 21,"arduino.led_blink(11, times=21)"
lampeggia led 11 22 volte,"arduino.led_blink(11, times=22)"
led 11 lampeggia 22,"arduino.led_blink(11, times=22)"
lampeggia led 11 23 volte,"arduino.led_blink(11, times=23)"
led 11 lampeggia 23,"arduino.led_blink(11, times=23)"
lampeggia led 11 24 volte,"arduino.led_blink(11, times=24)"
led 11 lampeggia 24,"arduino.led_blink(11, times=24)"
lampeggia led 11 25 volte,"arduino.led_blink(11, times=25)"
led 11 lampeggia 25,"arduino.led_blink(11, times=25)"
lampeggia led 11 26 volte,"arduino.led_blink(11, times=26)"
led 11 lampeggia 26,"arduino.led_blink(11, times=26)"
lampeggia led 11 27 volte,"arduino.led_blink(11, times=27)"
led 11 lampeggia 27,"arduino.led_blink(11, times=27)"
lampeggia led 11 28 volte,"arduino.led_blink(11, times=28)"
led 11 lampeggia 28,"arduino.led_blink(11, times=28)"
lampeggia led 11 29 volte,"arduino.led_blink(11, times=29)"
led 11 lampeggia 29,"arduino.led_blink(11, times=29)"
lampeggia led 11 30 volte,"arduino.led_blink(11, times=30)"
led 11 lampeggia 30,"arduino.led_blink(11, times=30)"
lampeggia led 11 31 volte,"arduino.led_blink(11, times=31)"
led 11 lampeggia 31,"arduino.led_blink(11, times=31)"
lampeggia led 11 32 volte,"arduino.led_blink(11, times=32)"
led 11 lampeggia 32,"arduino.led_blink(11, times=32)"
lampeggia led 11 33 volte,"arduino.led_blink(11, times=33)"
led 11 lampeggia 33,"arduino.led_blink(11, times=33)"
lampeggia led 11 34 volte,"arduino.led_blink(11, times=34)"
led 11 lampeggia 34,"arduino.led_blink(11, times=34)"
lampeggia led 11 35 volte,"arduino.led_blink(11, times=35)"
led 11 lampeggia 35,"arduino.led_blink(11, times=35)"
lampeggia led 11 36 volte,"arduino.led_blink(11, times=36)"
led 11 lampeggia 36,"arduino.led_blink(11, times=36)"
lampeggia led 11 37 volte,"arduino.led_blink(11, times=37)"
led 11 lampeggia 37,"arduino.led_blink(11, times=37)"
lampeggia led 11 38 volte,"arduino.led_blink(11, times=38)"
led 11 lampeggia 38,"arduino.led_blink(11, times=38)"
lampeggia led 11 39 volte,"arduino.led_blink(11, times=39)"
led 11 lampeggia 39,"arduino.led_blink(11, times=39)"
lampeggia led 11 40 volte,"arduino.led_blink(11, times=40)"
led 11 lampeggia 40,"arduino.led_blink(11, times=40)"
lampeggia led 11 41 volte,"arduino.led_blink(11, times=41)"
led 11 lampeggia 41,"arduino.led_blink(11, times=41)"
lampeggia led 11 42 volte,"arduino.led_blink(11, times=42)"
led 11 lampeggia 42,"arduino.led_blink(11, times=42)"
lampeggia led 11 43 volte,"arduino.led_blink(11, times=43)"
led 11 lampeggia 43,"arduino.led_blink(11, times=43)"
lampeggia led 11 44 volte,"arduino.led_blink(11, times=44)"
led 11 lampeggia 44,"arduino.led_blink(11, times=44)"
lampeggia led 11 45 volte,"arduino.led_blink(11, times=45)"
led 11 lampeggia 45,"arduino.led_blink(11, times=45)"
lampeggia led 11 46 volte,"arduino.led_blink(11, times=46)"
led 11 lampeggia 46,"arduino.led_blink(11, times=46)"
lampeggia led 11 47 volte,"arduino.led_blink(11, times=47)"
led 11 lampeggia 47,"arduino.led_blink(11, times=47)"
lampeggia led 11 48 volte,"arduino.led_blink(11, times=48)"
led 11 lampeggia 48,"arduino.led_blink(11, times=48)"
lampeggia led 11 49 volte,"arduino.led_blink(11, times=49)"
led 11 lampeggia 49,"arduino.led_blink(11, times=49)"
lampeggia led 11 50 volte,"arduino.led_blink(11, times=50)"
led 11 lampeggia 50,"arduino.led_blink(11, times=50)"
accendi led pin 12,arduino.led_on(12)
spegni led pin 12,arduino.led_off(12)
attiva led pin 12,arduino.led_on(12)
disattiva led pin 12,arduino.led_off(12)
acceso led pin 12,arduino.led_on(12)
spento led pin 12,arduino.led_off(12)
lampeggia led 12 1 volte,"arduino.led_blink(12, times=1)"
led 12 lampeggia 1,"arduino.led_blink(12, times=1)"
lampeggia led 12 2 volte,"arduino.led_blink(12, times=2)"
led 12 lampeggia 2,"arduino.led_blink(12, times=2)"
lampeggia led 12 3 volte,"arduino.led_blink(12, times=3)"
led 12 lampeggia 3,"arduino.led_blink(12, times=3)"
lampeggia led 12 4 volte,"arduino.led_blink(12, times=4)"
led 12 lampeggia 4,"arduino.led_blink(12, times=4)"
lampeggia led 12 5 volte,"arduino.led_blink(12, times=5)"
led 12 lampeggia 5,"arduino.led_blink(12, times=5)"
lampeggia led 12 6 volte,"arduino.led_blink(12, times=6)"
led 12 lampeggia 6,"arduino.led_blink(12, times=6)"
lampeggia led 12 7 volte,"arduino.led_blink(12, times=7)"
led 12 lampeggia 7,"arduino.led_blink(12, times=7)"
lampeggia led 12 8 volte,"arduino.led_blink(12, times=8)"
led 12 lampeggia 8,"arduino.led_blink(12, times=8)"
lampeggia led 12 9 volte,"arduino.led_blink(12, times=9)"
led 12 lampeggia 9,"arduino.led_blink(12, times=9)"
lampeggia led 12 10 volte,"arduino.led_blink(12, times=10)"
led 12 lampeggia 10,"arduino.led_blink(12, times=10)"
lampeggia led 12 11 volte,"arduino.led_blink(12, times=11)"
led 12 lampeggia 11,"arduino.led_blink(12, times=11)"
lampeggia led 12 12 volte,"arduino.led_blink(12, times=12)"
led 12 lampeggia 12,"arduino.led_blink(12, times=12)"
lampeggia led 12 13 volte,"arduino.led_blink(12, times=13)"
led 12 lampeggia 13,"arduino.led_blink(12, times=13)"
lampeggia led 12 14 volte,"arduino.led_blink(12, times=14)"
led 12 lampeggia 14,"arduino.led_blink(12, times=14)"
lampeggia led 12 15 volte,"arduino.led_blink(12, times=15)"
led 12 lampeggia 15,"arduino.led_blink(12, times=15)"
lampeggia led 12 16 volte,"arduino.led_blink(12, times=16)"
led 12 lampeggia 16,"arduino.led_blink(12, times=16)"
lampeggia led 12 17 volte,"arduino.led_blink(12, times=17)"
led 12 lampeggia 17,"arduino.led_blink(12, times=17)"
lampeggia led 12 18 volte,"arduino.led_blink(12, times=18)"
led 12 lampeggia 18,"arduino.led_blink(12, times=18)"
lampeggia led 12 19 volte,"arduino.led_blink(12, times=19)"
led 12 lampeggia 19,"arduino.led_blink(12, times=19)"
lampeggia led 12 20 volte,"arduino.led_blink(12, times=20)"
led 12 lampeggia 20,"arduino.led_blink(12, times=20)"
lampeggia led 12 21 volte,"arduino.led_blink(12, times=21)"
led 12 lampeggia 21,"arduino.led_blink(12, times=21)"
lampeggia led 12 22 volte,"arduino.led_blink(12, times=22)"
led 12 lampeggia 22,"arduino.led_blink(12, times=22)"
lampeggia led 12 23 volte,"arduino.led_blink(12, times=23)"
led 12 lampeggia 23,"arduino.led_blink(12, times=23)"
lampeggia led 12 24 volte,"arduino.led_blink(12, times=24)"
led 12 lampeggia 24,"arduino.led_blink(12, times=24)"
lampeggia led 12 25 volte,"arduino.led_blink(12, times=25)"
led 12 lampeggia 25,"arduino.led_blink(12, times=25)"
lampeggia led 12 26 volte,"arduino.led_blink(12, times=26)"
led 12 lampeggia 26,"arduino.led_blink(12, times=26)"
lampeggia led 12 27 volte,"arduino.led_blink(12, times=27)"
led 12 lampeggia 27,"arduino.led_blink(12, times=27)"
lampeggia led 12 28 volte,"arduino.led_blink(12, times=28)"
led 12 lampeggia 28,"arduino.led_blink(12, times=28)"
lampeggia led 12 29 volte,"arduino.led_blink(12, times=29)"
led 12 lampeggia 29,"arduino.led_blink(12, times=29)"
lampeggia led 12 30 volte,"arduino.led_blink(12, times=30)"
led 12 lampeggia 30,"arduino.led_blink(12, times=30)"
lampeggia led 12 31 volte,"arduino.led_blink(12, times=31)"
led 12 lampeggia 31,"arduino.led_blink(12, times=31)"
lampeggia led 12 32 volte,"arduino.led_blink(12, times=32)"
led 12 lampeggia 32,"arduino.led_blink(12, times=32)"
lampeggia led 12 33 volte,"arduino.led_blink(12, times=33)"
led 12 lampeggia 33,"arduino.led_blink(12, times=33)"
lampeggia led 12 34 volte,"arduino.led_blink(12, times=34)"
led 12 lampeggia 34,"arduino.led_blink(12, times=34)"
lampeggia led 12 35 volte,"arduino.led_blink(12, times=35)"
led 12 lampeggia 35,"arduino.led_blink(12, times=35)"
lampeggia led 12 36 volte,"arduino.led_blink(12, times=36)"
led 12 lampeggia 36,"arduino.led_blink(12, times=36)"
lampeggia led 12 37 volte,"arduino.led_blink(12, times=37)"
led 12 lampeggia 37,"arduino.led_blink(12, times=37)"
lampeggia led 12 38 volte,"arduino.led_blink(12, times=38)"
led 12 lampeggia 38,"arduino.led_blink(12, times=38)"
lampeggia led 12 39 volte,"arduino.led_blink(12, times=39)"
led 12 lampeggia 39,"arduino.led_blink(12, times=39)"
lampeggia led 12 40 volte,"arduino.led_blink(12, times=40)"
led 12 lampeggia 40,"arduino.led_blink(12, times=40)"
lampeggia led 12 41 volte,"arduino.led_blink(12, times=41)"
led 12 lampeggia 41,"arduino.led_blink(12, times=41)"
lampeggia led 12 42 volte,"arduino.led_blink(12, times=42)"
led 12 lampeggia 42,"arduino.led_blink(12, times=42)"
lampeggia led 12 43 volte,"arduino.led_blink(12, times=43)"
led 12 lampeggia 43,"arduino.led_blink(12, times=43)"
lampeggia led 12 44 volte,"arduino.led_blink(12, times=44)"
led 12 lampeggia 44,"arduino.led_blink(12, times=44)"
lampeggia led 12 45 volte,"arduino.led_blink(12, times=45)"
led 12 lampeggia 45,"arduino.led_blink(12, times=45)"
lampeggia led 12 46 volte,"arduino.led_blink(12, times=46)"
led 12 lampeggia 46,"arduino.led_blink(12, times=46)"
lampeggia led 12 47 volte,"arduino.led_blink(12, times=47)"
led 12 lampeggia 47,"arduino.led_blink(12, times=47)"
lampeggia led 12 48 volte,"arduino.led_blink(12, times=48)"
led 12 lampeggia 48,"arduino.led_blink(12, times=48)"
lampeggia led 12 49 volte,"arduino.led_blink(12, times=49)"
led 12 lampeggia 49,"arduino.led_blink(12, times=49)"
lampeggia led 12 50 volte,"arduino.led_blink(12, times=50)"
led 12 lampeggia 50,"arduino.led_blink(12, times=50)"
accendi led pin 13,arduino.led_on(13)
spegni led pin 13,arduino.led_off(13)
attiva led pin 13,arduino.led_on(13)
disattiva led pin 13,arduino.led_off(13)
acceso led pin 13,arduino.led_on(13)
spento led pin 13,arduino.led_off(13)
lampeggia led 13 1 volte,"arduino.led_blink(13, times=1)"
led 13 lampeggia 1,"arduino.led_blink(13, times=1)"
lampeggia led 13 2 volte,"arduino.led_blink(13, times=2)"
led 13 lampeggia 2,"arduino.led_blink(13, times=2)"
lampeggia led 13 3 volte,"arduino.led_blink(13, times=3)"
led 13 lampeggia 3,"arduino.led_blink(13, times=3)"
lampeggia led 13 4 volte,"arduino.led_blink(13, times=4)"
led 13 lampeggia 4,"arduino.led_blink(13, times=4)"
lampeggia led 13 5 volte,"arduino.led_blink(13, times=5)"
led 13 lampeggia 5,"arduino.led_blink(13, times=5)"
lampeggia led 13 6 volte,"arduino.led_blink(13, times=6)"
led 13 lampeggia 6,"arduino.led_blink(13, times=6)"
lampeggia led 13 7 volte,"arduino.led_blink(13, times=7)"
led 13 lampeggia 7,"arduino.led_blink(13, times=7)"
lampeggia led 13 8 volte,"arduino.led_blink(13, times=8)"
led 13 lampeggia 8,"arduino.led_blink(13, times=8)"
lampeggia led 13 9 volte,"arduino.led_blink(13, times=9)"
led 13 lampeggia 9,"arduino.led_blink(13, times=9)"
lampeggia led 13 10 volte,"arduino.led_blink(13, times=10)"
led 13 lampeggia 10,"arduino.led_blink(13, times=10)"
lampeggia led 13 11 volte,"arduino.led_blink(13, times=11)"
led 13 lampeggia 11,"arduino.led_blink(13, times=11)"
lampeggia led 13 12 volte,"arduino.led_blink(13, times=12)"
led 13 lampeggia 12,"arduino.led_blink(13, times=12)"
lampeggia led 13 13 volte,"arduino.led_blink(13, times=13)"
led 13 lampeggia 13,"arduino.led_blink(13, times=13)"
lampeggia led 13 14 volte,"arduino.led_blink(13, times=14)"
led 13 lampeggia 14,"arduino.led_blink(13, times=14)"
lampeggia led 13 15 volte,"arduino.led_blink(13, times=15)"
led 13 lampeggia 15,"arduino.led_blink(13, times=15)"
lampeggia led 13 16 volte,"arduino.led_blink(13, times=16)"
led 13 lampeggia 16,"arduino.led_blink(13, times=16)"
lampeggia led 13 17 volte,"arduino.led_blink(13, times=17)"
led 13 lampeggia 17,"arduino.led_blink(13, times=17)"
lampeggia led 13 18 volte,"arduino.led_blink(13, times=18)"
led 13 lampeggia 18,"arduino.led_blink(13, times=18)"
lampeggia led 13 19 volte,"arduino.led_blink(13, times=19)"
led 13 lampeggia 19,"arduino.led_blink(13, times=19)"
lampeggia led 13 20 volte,"arduino.led_blink(13, times=20)"
led 13 lampeggia 20,"arduino.led_blink(13, times=20)"
lampeggia led 13 21 volte,"arduino.led_blink(13, times=21)"
led 13 lampeggia 21,"arduino.led_blink(13, times=21)"
lampeggia led 13 22 volte,"arduino.led_blink(13, times=22)"
led 13 lampeggia 22,"arduino.led_blink(13, times=22)"
lampeggia led 13 23 volte,"arduino.led_blink(13, times=23)"
led 13 lampeggia 23,"arduino.led_blink(13, times=23)"
lampeggia led 13 24 volte,"arduino.led_blink(13, times=24)"
led 13 lampeggia 24,"arduino.led_blink(13, times=24)"
lampeggia led 13 25 volte,"arduino.led_blink(13, times=25)"
led 13 lampeggia 25,"arduino.led_blink(13, times=25)"
lampeggia led 13 26 volte,"arduino.led_blink(13, times=26)"
led 13 lampeggia 26,"arduino.led_blink(13, times=26)"
lampeggia led 13 27 volte,"arduino.led_blink(13, times=27)"
led 13 lampeggia 27,"arduino.led_blink(13, times=27)"
lampeggia led 13 28 volte,"arduino.led_blink(13, times=28)"
led 13 lampeggia 28,"arduino.led_blink(13, times=28)"
lampeggia led 13 29 volte,"arduino.led_blink(13, times=29)"
led 13 lampeggia 29,"arduino.led_blink(13, times=29)"
lampeggia led 13 30 volte,"arduino.led_blink(13, times=30)"
led 13 lampeggia 30,"arduino.led_blink(13, times=30)"
lampeggia led 13 31 volte,"arduino.led_blink(13, times=31)"
led 13 lampeggia 31,"arduino.led_blink(13, times=31)"
lampeggia led 13 32 volte,"arduino.led_blink(13, times=32)"
led 13 lampeggia 32,"arduino.led_blink(13, times=32)"
lampeggia led 13 33 volte,"arduino.led_blink(13, times=33)"
led 13 lampeggia 33,"arduino.led_blink(13, times=33)"
lampeggia led 13 34 volte,"arduino.led_blink(13, times=34)"
led 13 lampeggia 34,"arduino.led_blink(13, times=34)"
lampeggia led 13 35 volte,"arduino.led_blink(13, times=35)"
led 13 lampeggia 35,"arduino.led_blink(13, times=35)"
lampeggia led 13 36 volte,"arduino.led_blink(13, times=36)"
led 13 lampeggia 36,"arduino.led_blink(13, times=36)"
